virus,term,estimate,std.error,statistic,p.value,ind
h1pdm,(Intercept),-1.6158242024996128,0.5302384179502687,-3.0473540728072286,0.002308655913155179,116
h1pdm,logHImid,-0.49232193653777784,0.19565938223742582,-2.5162194161502685,0.011862130889447271,116
h1pdm,(Intercept),-0.7691414160106457,0.6363047093930558,-1.2087627274427957,0.22675401493909453,117
h1pdm,logHImid,-0.8779293570661194,0.3181081788264463,-2.7598452837803356,0.005782874116941996,117
h1pdm,(Intercept),-0.5964895470362381,0.5492732523805269,-1.0859613943534985,0.2774960726206881,118
h1pdm,logHImid,-0.8381625408119338,0.2494020793001156,-3.360687862603338,7.774863650850792e-4,118
h1pdm,(Intercept),-1.7274981411210075,0.5670737420247559,-3.046337738991259,0.0023164747136228516,119
h1pdm,logHImid,-0.4884767328388255,0.21455522142729033,-2.276694687686094,0.022804463978229272,119
h1pdm,(Intercept),-1.0125339247391303,0.7534796579444178,-1.3438105648418477,0.17900965227168597,120
h1pdm,logHImid,-0.9134752911022916,0.37857640800471964,-2.412921861446008,0.015825211849738296,120
h1pdm,(Intercept),-2.141647234852574,0.5113323683042251,-4.188366251788636,2.809698191333759e-5,121
h1pdm,logHImid,-0.25993149914890046,0.1534972358095063,-1.693395309551252,0.0903802470958601,121
h1pdm,(Intercept),-1.5077803682147142,0.5281459664229585,-2.8548554075432033,0.0043056426525063494,122
h1pdm,logHImid,-0.577700250133556,0.21754504632877095,-2.6555431157025313,0.007918081078830621,122
h1pdm,(Intercept),-1.6009830667993281,0.566107926325425,-2.828052730494731,0.0046832091886471645,123
h1pdm,logHImid,-0.5608404179961619,0.2289791502093466,-2.4493077971658455,0.014313107714543957,123
h1pdm,(Intercept),-1.785329272217316,0.5195483029634664,-3.4363104682161896,5.89694789155263e-4,124
h1pdm,logHImid,-0.4235117458681545,0.17978864313177814,-2.3556090000508916,0.018492370840351022,124
h1pdm,(Intercept),-2.008785283204121,0.5578474899259785,-3.600957823563335,3.170470109477741e-4,125
h1pdm,logHImid,-0.3877325861402733,0.19647846418023798,-1.9734101025168327,0.04844885754702275,125
h1pdm,(Intercept),-1.585257033601259,0.4999764193839111,-3.170663599604697,0.0015209116248036314,126
h1pdm,logHImid,-0.4825943133114306,0.1878885090189929,-2.5685142525807527,0.010213551201136355,126
h1pdm,(Intercept),-0.929001325111861,0.42747523993746184,-2.173228384520635,0.02976313245997642,127
h1pdm,logHImid,-0.5824452531057338,0.17153893125437178,-3.395411460515846,6.852553339294657e-4,127
h1pdm,(Intercept),-0.7065411292505727,0.7240854186234171,-0.9757704147582498,0.3291782489194899,128
