term,true_val,nsam,beta_0,beta_logTitre,risk_prop_expected,long_prop_expected,max_follow,kappa,model_name,data_name,par_varied,est_mean,est_sd,se_mean,coverage,nsim
beta_logTitre,-1.5,10000,-3,-1.5,1,0.6000000000000001,100,1,std,std_1,long_prop_expected,-0.6414076861682443,0.01864252547341836,0.008121629143588735,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.6000000000000001,100,10,std,std_10,long_prop_expected,-0.6415233184239238,0.018662519468094663,0.008121577269883752,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.6000000000000001,100,100,std,std_100,long_prop_expected,-0.64140053365587,0.018118168332446852,0.008121514294743146,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.6000000000000001,100,1000,std,std_1000,long_prop_expected,-0.6417004345354862,0.018626919025762325,0.008127985151949147,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.7000000000000001,100,0.5,std,std_05,long_prop_expected,-0.6400226347976694,0.01774113773971047,0.008154505247396344,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.7000000000000001,100,1,std,std_1,long_prop_expected,-0.6400729043724102,0.017755489080004933,0.008153362231426787,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.7000000000000001,100,10,std,std_10,long_prop_expected,-0.6401320662760225,0.017801576454680404,0.008154233891323713,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.7000000000000001,100,100,std,std_100,long_prop_expected,-0.6395571568673478,0.017985806276520473,0.008143762735603334,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.7000000000000001,100,1000,std,std_1000,long_prop_expected,-0.639733718434377,0.017919559337930963,0.008148477453146005,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.8,100,0.5,std,std_05,long_prop_expected,-0.6437180639489573,0.017377333441974317,0.008190364234385137,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.8,100,1,std,std_1,long_prop_expected,-0.6440011701854281,0.017562386481289244,0.008193789070361713,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.8,100,10,std,std_10,long_prop_expected,-0.6433667093383165,0.01780784914318929,0.008184447088494399,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.8,100,100,std,std_100,long_prop_expected,-0.6436753793914552,0.01758419278068198,0.00818925781220247,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.8,100,1000,std,std_1000,long_prop_expected,-0.6436695266139247,0.017790875902185525,0.008190678644727152,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.9,100,0.5,std,std_05,long_prop_expected,-0.6521334877712839,0.01763433044463383,0.008234148015270601,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.9,100,1,std,std_1,long_prop_expected,-0.6521335929778224,0.017507918042194006,0.008232556183663574,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.9,100,10,std,std_10,long_prop_expected,-0.6520910750540073,0.017771517543092377,0.00823387339906661,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.9,100,100,std,std_100,long_prop_expected,-0.6519278661205175,0.017938851133556005,0.00823265638496247,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.9,100,1000,std,std_1000,long_prop_expected,-0.6518855319597375,0.018011856652479362,0.00823023774058016,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,1,100,0.5,std,std_05,long_prop_expected,-0.664440919373436,0.01792005613091132,0.008278381632382755,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,1,100,1,std,std_1,long_prop_expected,-0.6642425547150369,0.01811011364764693,0.00827195566867902,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,1,100,10,std,std_10,long_prop_expected,-0.6645147536613408,0.018181430265103445,0.008278428584469543,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,1,100,100,std,std_100,long_prop_expected,-0.6645321486841436,0.018035377348429325,0.00827665275115554,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,1,100,1000,std,std_1000,long_prop_expected,-0.6642988823864419,0.01799931474528735,0.008274618610822015,0,10000
